Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,State,City,Category,SubCategory,Sales,Quantity,Discount,Profit,Profit Margin,Order Year
CA-2016-152156,2016-11-08,Second Class,Claire Gute,Consumer,South,Kentucky,Henderson,Furniture,Bookcases,261.96,2,0.0,41.9136,0.16,2016
CA-2016-152156,2016-11-08,Second Class,Claire Gute,Consumer,South,Kentucky,Henderson,Furniture,Chairs,731.94,3,0.0,219.582,0.3,2016
CA-2016-138688,2016-06-12,Second Class,Darrin Van Huff,Corporate,West,California,Los Angeles,Office Supplies,Labels,14.62,2,0.0,6.8714,0.47,2016
US-2015-108966,2015-10-11,Standard Class,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,Furniture,Tables,957.5775,5,0.45,-383.031,-0.4,2015
US-2015-108966,2015-10-11,Standard Class,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,Office Supplies,Storage,22.368,2,0.2,2.5164,0.1125,2015
CA-2014-115812,2014-06-09,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Furniture,Furnishings,48.86,7,0.0,14.1694,0.29,2014
CA-2014-115812,2014-06-09,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Office Supplies,Art,7.28,4,0.0,1.9656,0.27,2014
CA-2014-115812,2014-06-09,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Technology,Phones,907.152,6,0.2,90.7152,0.1,2014
CA-2014-115812,2014-06-09,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Office Supplies,Binders,18.504,3,0.2,5.7825,0.3125,2014
CA-2014-115812,2014-06-09,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Office Supplies,Appliances,114.9,5,0.0,34.47,0.3,2014
CA-2014-115812,2014-06-09,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Furniture,Tables,1706.184,9,0.2,85.3092,0.05,2014
